,Names,Adress,Phone,Email
148,Agence Immobilière amina ,Cite des 62 logts N62 Staoueli .Alger - Staoueli Alger, 021392101,Fax : 021394925
149,**LE MARÉCHALE**  les sources,les sources - Bir mourad rais Alger, 021541524 / 0555015398 / 99, marechal_lessources@msn.fr
153,cabinet d'affaires massalih,28 rue capitaine mennani - Alger centre Alger, 0552885114 / 0771618488 / 021666937,Fax : 021666937
159,agence d'affaire avenir,602 logts c a 15 num 01 cheraga les dunes  - Cheraga Alger, 0550303636, immoferahi@yahoo.fr
160,Agence Palais d'Afrique ,BEb - Bordj el bahri Alger, 0698058347, dophin_uk@yahoo.fr
165,El Mordjane,"Cité 1200 logts, Coté Mercure, BEZ - Bab ezzouar Alger", 021242997 / 0559380808 / 0550377309, kamel.elmordjane@hotmail.fr
179,iFreedy,Route des dunes cheraga alger - Cheraga Alger, 0776367104, dady_29@hotmail.com
180,Cabinet Immobilier CiC,El biar Alger, 0553522025 / 0561237226 / 0550197081, ag_cic@yahoo.fr
186,Mobiphone,8 Rue Hamani (Rue charras) Alger - Alger centre Alger, 0771763453, Groupe.Special.Mobile@hotmail.fr
187,L'Atlantique,alger - , 0773141423, ciel115@yahoo.fr
195,Agence ilys agréé par l'Etat cliquez ici pour voir nos produ, Agence immobilier ilys cite 17 octobre 61 Gue de Constantine Alger - Gue de constantine Alger, 023 / 93 / 10 / 76 / 0551413684 / 0661542019,Fax : 023 / 93 / 10 / 76
205,Metrolec SARL - algeria ,  alger  /  blida - Dar el beida Alger, 0661664542, somife@hotmail.com
206,"bureau d,affaires oussama fouka",tipaza - Fouka Tipaza, 06622683030550818393," bureau d,affaires@yahoo.fr"
207,Bureau D'affaire Walid,Bu00e9ni messous  - Beni messous Alger, 0550585244,Fax : 021934943
210,Le petit prince,Cite 360 logements Ben Aknoun - Ben aknoun Alger, 0558836440 / 021794540, bur.immo@outlook.fr
214,kAFO,belcourt - , 05508057490550472177, khaledzid@live.fr
215,INDEXIMMO,"Draria  Lot ""C""  villa  n 93.  - Draria Alger", 0550453688 / 023264265,Fax : 023264265
217,SABIL EL-manar  سبيل المنار,75ruecolonel si m'hamed ain benian alger - Ain benian Alger, 021301366055052247305532927170661292092, dznouredine04@yahoo.fr
219,agence immobiliere descartes,09 rue alphonce daudet les sourcres - Bir mourad rais Alger, 0771144869 / 0550482212, descartes116@hotmail.fr
220,Agence Immobiliere Immo Tour,les bananiers  - Bab ezzouar Alger, 0550093762, laila-larbaoui@hotmail.com
221,Ets Ryadosclic,Souidania Ville - , 0555780916, ryadosclic@yahoo.fr
222,Agence immobilière El kitmene,"54 Rue el arbi allik , Hydra  - Hydra Alger", 021481290, elkitmene@yahoo.fr
228,Yacou Store,PONT CARNOT - Chevalley Alger, 0561445238, Yacou84@Hotmail.com
229,LE BERBERE   IMMO,"08, RUE DIDOUCHE MOURAD AUDIN ALGER,  2u00e9me etage ""immeuble ""Egypte Air"" - Alger centre Alger", 0550 / 38 / 19 / 50, leberbere16@outlook.fr
231,TeeDotZero,Dely brahim Alger, 0770549992, tshirt20@gmail.com
235,Aqua-Store,"Lot 19 Dely brahim, bois des car1 Alger - Dely brahim Alger", 0771954948 / 0551377662, samybeniddir@hotmail.com
236,agence assim,boudouaou - Boudouaou Boumerdes, 0550646639, lalune1@live.com
237,Reavimo Cheraga1,"14, Lotissement Kaouche2, A coté  Du Centre Commercial El-qods, Cheraga , Alger. - Cheraga Alger", 21323363129,Fax : 21323363129
239,agence immobilière vecteur,8 rue charras - , 0553072437, vecteur.prospect@outlook.fr
241,Agence immobiliere Chahra Delybrahim,Coopu00e9rative  citmil  dely  brahim - Dely brahim Alger, 0551212847, Chahra16zed@gmail.com
242,souhac,Alger centre Alger, 0550381669, souhac@yahoo.fr
243,agence kader,beb -el oued - Alger, 07715468610551517308, derriche_kader@hotmail.fr
244,A . G . M,El Mouradia - Bir mourad rais Alger, 0664943542, contact.synergy.tec@gmail.com
246,agence el khier *agreè par l'ETat*,cite ben turkia boudouaou - Boudouaou Boumerdes, 0771652073 / 024916291 / 0561252214 / 0550591063, agenceelkhier@yahoo.fr /agenceelkhier@hotmail.fr
247,ALGERPC HYDRA  SIDI YAHIA,"64, Boulevard Sidi Yahia, Hydra, Alger - Hydra Alger", 0561606767 / 023486464 / 0561606769,Fax : 023486464
250,  El Djazair immo,bab ezzouar - Bab ezzouar Alger, 0550473188, aldjazair.immo@yahoo.com
251,Bijouterie & Joaillerie Arlequin,"38 Rue Mohamed Chaabane, El-Biar, Alger, Algu00e9rie - El biar Alger", 021920139 / 0664452506 / 021956103, arlequin.bijoux@gmail.com
255,Agence immobiliere  RANIA agrée par l'état,https://goo.gl/maps/71F8xfSWSnA2        - Zeralda Alger, 0550239600 / 0771469600,Fax : 23322694 / 
256,elouardji,alger - Alger centre Alger, 0778401515021769206, elouardji@hotmail.com
257,ACCESS IMMOBILIER,hydra - Hydra Alger, 0550545189, accessimmobilier@gmail.com
258,Bureau d'affaire Béni Messous,cité saadi n°4 benimessous - Beni messous Alger, 0662533868, Mouloud90@outlook.com
259,Study Center Languages,BT  D3  Nu00b042  LES ASPHODELES BEN AKNOUN - Ben aknoun Alger, 0552062408 / 021946763, immo.car@hotmail.fr
260,agence immobiliere la vallee du vent ,lot nu00b048les dunes cheraga alger - Dely brahim Alger, 0555911012, bureaudaffaireslavalleeduvent@yahoo.fr
262,Agence ilyes,27 rue djenadi aziouz la croix kouba - Kouba Alger, 0550470212 / 021462517 / 0554518982 / 0772831004, agenceimmobiliereilyes@gmail.com
263,SARL Ibelaiden, cite EPLF residense EL YASMINE EL ACHOUR - El achour Alger, 0550968136 / 0666353442 / 021947576 / 0550587906, hakimabrah@gmail.com
267,LAPTECH,58 Coopu00e9rative Ennahda (La cote) Bir Mourad Rais - Bir mourad rais Alger, 0560938825, ok@laptech-dz.com
269,LABELIMMO HYDRA,"Coopu00e9rative immobiliu00e8re Haut Site de Hydra,lotissement Moutchachou,local Nu00b0 7- Hydra-Alger  - Hydra Alger", 0771720237 / 0550032326,Fax : 023230186
271,Agence IMMOAVENIR,gue de constentine - Gue de constantine Alger, 021836556021836651,Fax : 021836651
272,Tassili computer,Lotissement Krim Belkacem - Dar el beida Alger, 023816807,Fax : 023816807
275,société promotion immobiliere,Bab ezzouar - Bab ezzouar Alger, 000000, eseritalgerie@yahoo.fr
278,Le Parc immobilier  Agréée par L'état,"Residence Urba 2000 , bt 17 , Oued Romane El Achour - El achour Alger", 0550680385, immo-leparc@hotmail.com
279,Agence immobilière Yasmine Staoueli ,rue chehat rabah staoueli - Staoueli Alger, 0770822440, bechar1965@live.fr
280,Dream Sat   Kouba ,Rue djanene ben danoune. Num01-calvaire- kouba - Kouba Alger, 0559642299,Fax : 0662777063
283,Rhinoceros Shop,Ouled yaich Blida, 0560371548, opium87@hotmail.com
285,Agence YASMINE,abdelrrahmane laala el madania - , 0793022102, radou12@hotmail.co.uk
286,RAPIDE IMMOBILIER,Centre Commercial et des Affaires El Qods au 1er u00e9tage / Nu00b0 03 u2013 08  - Cheraga Alger, 021343434 / 0550545444, rapideimmobilier@gmail.com
287,karim,Bab Ezzouar - Bab ezzouar Alger, 0550631949, karim_guernouti13@hotmail.com
289,DyalKom,7. Rue Docteur Saadane  - Alger centre Alger, 0550176971,Page Facebook : facebook.com/Dyalk0m/
298,SPunlock.Dz Store ®,"Bachdjarah II ,  - Bachdjerrah Alger", 0770214184, spunlock.dz@gmail.com
300,kenzoki,El achour Alger, 0550712624, imadou38@live.fr
303,Agence La Couronne Royale,5 bvd Victor Hugo Alger centre - , 0665556213,Fax : 021749389
305,le modeste immobilier,dar diaf - Cheraga Alger, 023279281 / 0555283038 / 0661538899,Fax : 023279281
306,Sweet Home immobilier,"paradou"" HYDRA - Hydra Alger", 021609087, agence.sweethome@yahoo.fr
310,ELECTROMENAGER PLUS,Gue de Constantine  - Gue de constantine Alger, 0552388488, patetarik@yahoo.fr
311,Phone plus,Gue de Constantine  - Gue de constantine Alger, 0552388488, patetarik@yahoo.fr
318,Mobifree store,02 rue tahar azzouz alger - Alger centre Alger, 0556434340, mobifree@yahoo.fr
320,EXALSIM,ben khellil centre - Ben khellil Blida, 0551368980, Youcefghdz16@gmail.com
323,SOSLAPTOP,86 ROUTE DE DOUIRA SAOULA  - Saoula Alger, 0213560570550408060, soslaptopalgerie@gmail.com
324,CASA IMMO 2,13 RUE ALIOUA FODIL CHERAGA  - Cheraga Alger, 023358788 / 0553590572 / 0550165232 / 0550457072 / 0549323634 / 0664200456,Fax : 023358788
325,Prince informatique,Villa N°10 Cité Oumakhlouf  - Bachdjerrah Alger, 0557983868 / 0550301149, admn0102@gmail.com
327,Agence C.A.I,Alger - El biar Alger, 0219231710556999356, agence_amir@hotmail.fr
328,Malkoumx Informatique,El biar Alger, 0551033080, malkoumx@live.fr
331,Agence BIREM,oued romane - El achour Alger, 0561996063, biremimmobilier5@gmail.com
332,Agence immobilière LES MIMOSAS,Lotissement Sidi Merzoug n 04 A ben aknoun ALGER  - Ben aknoun Alger, 021911627 / 021912075 / 0661517705, abbesdz@voila.fr
334,CABINET D'AFFAIRES PATRICIA,"13, Rue G les crettes Hydra  Alger - Hydra Alger", 0561237443, patricia_immo@hotmail.fr
335,Ezzahi informatique, Oued Smar ESI - Oued smar Alger, 0550515396 / 0561616066, ezzahi28@hotmail.com
338,Le serveur des champions,Alger centre Alger, 0557056334 /  / 0794989702, newcamd2011@hotmail.fr / skype: newcamd2011
339,Agence Salwa,"45,Route Nationale N01 Bir Mourad Rais (a coté de clinique cardio).alger - Bir mourad rais Alger", 021562329 / 0550545220 / 0661522260,Fax : 021562329
340,AUTO PLUS,show room  auto plus B A   ROUTE FRAIS Vallon  VERS STADE 5 JUILLET 500 M AVANT TUNNEL CHEVALIER - Bouzareah Alger, 00213550330045, autoplusalgerie2017@gmail.com
342,Karim immo,kolea - Kolea Tipaza, 0552972579 / 0561259886, kadmam_68@yahoo.fr
344,Lyna Fashion,Coop Errochd N°24 Vieux Kouba - Kouba Alger, 0772847737, lyn_az71@yahoo.fr
345,Agence Immobiliere el ikhlas agréer par l'état ,Bordj el baril centre  - Bordj el bahri Alger, 0550182060, agence.immobiliere-elikhlas@yahoo.fr
346,Agence Hossam,dar el beida alger  - Dar el beida Alger, 0550743588, ahmedboutelidjane@yahoo.fr
347,Agence le Bon Flair,BIRKHADEM - Birkhadem Alger, 0551245673, lebonflair@hotmail.fr
348,Bureau d'Affaires Bahdja B.A.B,"08, rue Dauphine El-Hemmadia Bouzareah Alger - Bouzareah Alger", 021930206 / 0771968969 / 0552668494, babalgeria@gmail.com
350,Nibras Immo,A coté de l' APC de Gue Const - Gue de constantine Alger, 0551505063 / 0771910960 / 0776035836, nibras.immo@gmail.com
351,WELTINFO,"107,Rue ASSELAH HOCINE (en face centre culturel français) - Alger centre Alger", 021745769 / 0554014222 / 0555243102, weltinfo@yahoo.fr
352,Home  immobilier,"24, Rue Touri H'mida , Ain Benian - ALGER - Ain benian Alger", 021304749 / 0550026074 / 0553086509, home.algeria@hotmail.fr
353,VAG piéces détachées  Automobiles,"magasin  citer djenane achabou face au stade de foot , pres de lecole privu00e9 dalia route menant vers  - Dely brahim Alger", 0557816604, icedine@yahoo.fr
354,bureau d'affaires daili,bordj el bahri la brise - Bordj el bahri Alger, 0552552004 / 0556485484 / 0699722155, nonoudaili@yahoo.fr
355,Agence immobiliere C I A,"01, Place Ben Badis ( u00e0 cotu00e9 de Promy), Hydra - Hydra Alger", 023484575 / 023484576,Fax : 023484574
357,LA JOLIE MAISON ,"4 Rue mouhamed neggazi,Meissonier - Alger centre Alger", 0555194730 / 0552216565 / 021235560, s.taha@joliemaison-imb.com
358, ENNIBRASSE IMMOBILIER ( agrée par l'état )    ,Rue Med khemisti Bt 3 Dar El Beida  - Dar el beida Alger, 0550462615 / 0557690883 / 021505045, Ag.ennibrasse@yahoo.fr  
359,Dreambox Center,beni messous - Beni messous Alger, 0661591371, epag031@gmail.com
360,AGENCE  IFRI DE CHERAGA,"11,Rue Terki Kaddour Chéraga - Alger - Cheraga Alger", 05503966740792582951, ag.ifri11@yahoo.fr
361,Agence EL Kalima,"Citu00e9 142 logts ,Local nu00b0 40 ,Draria ,Alger - Draria Alger", 0551018300, dadielkalima@hotmail.fr
363,juris_immo,Hydra Alger, 0555243677, juris_immo@hotmail.fr
364,Réseau National Immobilier REAVIMO,"Cité EPLF, Bâtiment D55, El Achour - El achour Alger", 021948673, contact@reavimo.com
366,Bureau d'affaires La Frégate,01.Rue DOUKARI A.E.K  FOUKA  W.TIPAZA - Fouka Tipaza, 024511285 / 0550174348 / 0771744402, la_fregate@hotmail.fr
370,agence immobiliere bois des cars,lot rtt n30 dely brahim alger - Dely brahim Alger, 05546125550552307878, turqui2010@hotmail.fr
371,Bureau d'affaires CHERCHELL,"Nouveau lycu00e9e,Banlieu Est Cherchell,W.Tipaza - Cherchell Tipaza", 0774561027 / 0698044433, selmabr@yahoo.fr
372,Agence immobiliere NARI,lots les rosiers Birkhadem - Birkhadem Alger, 021447649 / 0550545668 / 021565622, info@nari-immobilier.com
373,Yacine particulier,alger - Bordj el kiffan Alger, 0792367973 / 0557204000, g.yacine07@yahoo.fr
374,Dzkeys,06 Rue Ghermoul - Sidi mhamed Alger, 2130552732268, support@dzkeys.com
375,Bureau d'affaires LAOUDI,"16 rue Mohamed FALLEH, Kouba-Alger - Kouba Alger", 0550760502, laoudi_messaoud@hotmail.fr
376,AGENCE LES CHEMINOTS,03 rue Ali Azil Sidi M'hamed Alger - Sidi mhamed Alger, 0555866580,Fax : 021731621
379,Ag.le repos plus ,Ben Aknoun - Ben aknoun Alger, 05524481750558836440021945424, immo.le.repos@gmail.com
380,البيت الواسع  agrée par l’état ,cooperative el kawthar (a côté de commissariat )  - Birtouta Alger, 0558018262 / 0770682399,Fax : 021442468
382,Cuisines Bertolini,"154 avenue ali khodja , chateauneuf ,  - El biar Alger", 0557744258, mouzani@gmail.com
386,kotama ,05 Bd Victor Hugo - Alger centre Alger, 556058297,Fax : 021712651
387,ALGER MEUBLES ,07 rue boulodrome dely brahim / 02 Rue Moussa Hamadache  - Dely brahim Alger, 0560440461 / 0560460423 / 0560424541, algermeubles@gmail.com
388,Snow,136 Logts Route cheraga Ouled fayet alger  - , 021232863021452386 / 0560016464 / 0560016262 / 0560016363 / 0560016464 / 0560016767, contact@bessapromotion.com
390,LA RESIDENCE ,28 rue larbi alik - Hydra Alger, 021692111 / 603363, infos@residencedz.com
391,Agence FFIMMO,Cité 348 lgts Said Hamdine ALGER - Bir mourad rais Alger, 021605567 / 0555041996 / 0555041998, secretariat@ffagimmo.com
392,Agence el DJADID,Lot C No 62 Draria (En face lyucie sportif) - Draria Alger, 0540921534, www.eldjadidimmo@hotmail.com
393,SCI Hadjeb,Bab el oued Alger, 213771509991, scihadjeb@hotmail.fr
394,bureau d'affaire amel,dar elbeida - Dar el beida Alger, 0550195692, agence-abonosayba@live.fr
395,Bureau D'affaires FADI,"N:206 amaraII , alioua fodil chu00e9raga, Alger - Cheraga Alger", 0540043554, bureauaffaire75@gmail.com
396,Pub,Alger - Alger centre Alger, 0, votresitewebdz@gmail.com
398,Agence Belfort,Marchu00e9 hassen badi Nu00b016 face lu2019acadu00e9mie de belfort (El harrach) - El harrach Alger, 0770185789, far-zer@live.fr
399,Beyte El Qods,Citu00e9 des 40 Logts local Nu00b03.Ouled Fayet-Alger - Ouled fayet Alger, 023280517 / 0551142686,Fax : 023280517
400,Lapcom,"la route du marchu00e9 allant vers les as, u00e0 cotu00e9 d'une superrete et les impots - Ben aknoun Alger", 021946501, contact@lapcom.dz
401,Agence BAKR,"Cité Soummam BT:13C local N05"" en face de l'école primaire "" bab ezzouar- alger - Bab ezzouar Alger", 0550888830 / 023742310,Fax : 023742310
403,Dz-Debloc,Adresse 1 : Centre Commercial N°1 Belfort  -  Magasin n° 35  .     Adresse 2 :  EGECO . - Kouba Alger, 0560323068, dz.debloc@gmail.com
404,LINA & ALAA EDDINE,Birtouta cote de l'état civile - Birtouta Alger, 0550546832 / 0771244381 / 0551085349, ABDELHAMID.HARECHE@YAHOO.FR
405,Agence el amane,cite 5 juillet Bt 92 N° 43 Bab - Ezzouar  alger - Bab ezzouar Alger, 021241506, amane.immobillier@yahoo.com
406,CABINET D'AFFAIRE TRIKI /92 DIDOUCHE MOURAD,92 DIDOUCHE MOURAD - Alger centre Alger, 0555651728, sonia_triki74@yahoo.fr
407,La bonne adresse ,CENTRE COMMERCIALE RESIDENCE AFFAK SEBALA  - El achour Alger, 0556730485 / 0661600071, afouzi16@gmail.com
408,Think!Gamers,Alger - Kouba Alger, 0697836030, snk148@hotmail.com
409,Le Ritz,coop nadjah ilot 10 no 6 garidi cnep - Kouba Alger, 0550544184 / 0771516847 / 021461921, ritzimmo@live.com
410,Cabinet d'afffaire Amine & Amine ,25 rue d'anjou hydra  - Hydra Alger, 0550833026 / 0555000194, immobusness@yahoo.fr
411,Destination immobilier ,43 ben Haddadi said dar diaf /cheraga - Cheraga Alger, 023371136,Fax : 023371136
412,Ibtissama immo ,cite 20 Aout DAR EL BEIDA - Dar el beida Alger, 021505450055529109305505467580555291098, ibtissama.immo@hotmail.fr
414,ADJLIA Immobilier,"promotion MADAOUI 1er u00e9tage Bd citu00e9  Sghir, Bejaia - Bejaia Bejaia", 0550420420 / 0554599550 / 034125649,Fax : 034125649
415,Agence immobilière menia (le dauphin) agréer par l’état ,Rue Ahmed Ouaked (près de la supperette Galaxy) - Dely brahim Alger, 0770320318 / 0555684161, amine_menia@hotmail.com
416,Kouba electronique ,08 rue mohamed fellah kouba - Kouba Alger, 0550262837 / 021281446, koubaelectronique1@yahoo.fr
417,KOUBA ELECTRONIQUE,08 RUE MOHAMED FELLAH  - , 023786447 / 0550262837,Fax : 023786447
420,CHAY IMPORT EXPORT AGROALIMENTAIRE,12 rue idris arkoub h dey - Hussein dey Alger, 0773962519, kutagrain@yahoo.fr
422,AGENCE EL BADEEL,"Rue ,12 mohamed Khamissti Dar El Beide  Alger (en face station Naftal) - Dar el beida Alger", 0550430530 / 0550430350, AGENCEBRAHIMRACHID@GMAIL.COM
424,Bios Info,"Cité Diplomatique,Dergana,BEK,Alger - Bordj el kiffan Alger", 0551947755, Biooosinfooo@gmail.com
426,LONDON STORE ALGER, 03 Lot Guellati  - Cheraga Alger, 0560084290, londonstorealger@gmail.com
427,SLIMANI2011,DAR EL BEIDA - Dar el beida Alger, 0555048769, sncmotocycleami@gmail.com
428,Imo Sarah  Anis,Citu00e9 297 logements Bt 05 local nu00b0 06 Birtouta  - Birtouta Alger, 021444848 / 0550961554 / 0550961555 / 0661435743 / 021444539, imosarahanis@gmail.com / www.imosarahanis.com
429,Le Port,"05 rue,Mohamed Alliche Cherchell - Cherchell Tipaza", 024438243 / 0554558057, contac@leport-immo.com
430,Immo.la source,"Rue,Principal Corso - Corso Boumerdes", 0550407258, agencecorso@hotmail.fr
432,Options Services,32 rue hacene ticherafi el madania - El madania Alger, 0550675292, sofiane_f80@yahoo.fr
433,Bureau d'affaires TORAYA,rabia tahar - Bab ezzouar Alger, 0550074050, contact@toraya-dz.com
435,Agence AMINA ain allah,coopu00e9rative el moustakbal Nu00b0 313 ain allah dely ibrahim - Dely brahim Alger, 0551846412 / 0540981552, agenceamina@live.fr
436,Les Amandiers,"6, Chemin du Reservoir Hydra - Hydra Alger", 0556877476, lesamandiers.estate@hotmail.fr
441,Agence immobilière  SIDI FREDJ,"sis.1530 logements AADL, ( en face D.G nedjma ) - Ouled fayet Alger", 0557702470 / 0771426960 / 021383191, a.sidi-fredj@hotmail.com
442,Agence le Lido,"171, rue Saidi Ahmed, Bordj El Kiffane.  - Bordj el kiffan Alger", 021204455 / 0661524816 / 0550245101, aglelido@yahoo.fr
443,Agence immobiliere  AIC  ,Cite 11decembre1960 Bt21 boumerdes algerie - Boumerdes Boumerdes, 0772210233,Fax : 024913539
445,Alltech,Cité SONELGAZ n 43  - Gue de constantine Alger, 0793691514, alltech@live.fr
446,Agence AFAK LES BANANIERS,310 les bananiers - Bab ezzouar Alger, 05505736320697151566, bbbbbbmmmmmm6699@gmail.com
448,mounir.immob,dar el baida - Dar el beida Alger, 0550020706, picanto2005@hotmail.fr
449,MAGIC TOUCH ALGERIE,"03, Rue Etienne Dinet Belle Vue - ", 021828622 / 021828384 / 0661564424 / 0770125857 / 0665982581 / 0662003731, www.themagictouchalgeria.com / www.themagictouch.com
451,ETS allalou,el magharia h.dey - Hussein dey Alger, 0796481405 / 0551561652, kam-oulla@hotmail.fr
457,Bureau d affaire MAYA,32 rue cité Maya N°15 - Hussein dey Alger, 021779876 / 0661551452 / 0550847616, challalhalim@yahoo.fr
458,Bureau d'Affaires AKAREM,Belfort  - El harrach Alger, 05515400760662120108, akarem.mohamed@yahoo.com
459,AGENCE   EL MIFTAH, El Achour.  ALGER - El achour Alger, 0558176958, bureau70@hotmail.com
462,GEEKZONE,"140, Rue Ali Khodja, El Biar, Alger - El biar Alger", 0661513892 / 0550607093 / 021922886, geekzonedz@yahoo.fr
463,Nadir,"11 du00e9cembre, Ouled chebel. Birtouta  - Ouled chebel Alger", 00213550614848, naoufel.elhassani@gmail.com
464,L'atelier des Coquelicots,34A coop El Mebnia - Birkhadem Alger, 0553472220, ateliers.coquelicots@gmail.com
465,Data Host Services ,"41 , lot Saidoun Mohamed ( Ex Cité Dallas ) - Kouba Alger", 05600406000560040608, contact@datahost-dz.com
467,Menuiserie Ammour,"06,Cité mouloud Sidi A.E.K 09000 Blida - Blida Blida", 025414739, info@ammour.com
469,flashmodes,sidimoussa - Sidi moussa , 0552042821, awassdz@yahoo.fr
470,CICILIA,5 rue victore hugo - Alger centre Alger, 0773277493, hamidsaighi@hotmail.com
473,IBS,mohammadia  - Mohammadia Alger, 0561391547, microbest.it@gmail.com
474,Restaurant ERRIANE,"32, rue med belkahla - Kouba Alger", 021687340,Fax : 023719885
475,Sarl Kandl,02 rue mohamed allilete kouba - Kouba Alger, 0550679108 / 0554660409, sarl.kandl@gmail.com
477,SPACE NET,Alger Center - Alger centre Alger, 0661872396, spacenet16@yahoo.fr
478,Agence immobiliere ALLAG,Nu00b026 citu00e9 auto construction - Baba hassen Alger, 0551333353, allag_immobily@hotmail.fr
479,AG  Immo Hassiba ,Sidi mhamed Alger, 0776026210, immo.hassiba@yahoo.fr
480,ECOLE MAIN D'OR école des grands,"Rue Hassiba Ben Bouali Angle du 49,Alger Centre - Alger centre Alger", 021235349 / 0775284015 / 0550831149, maindor111@hotmail.fr
482,Agence Elkalaa Immobilier,5 rue des freres hamza - Dely brahim Alger, 0560100666,Fax : 023312040
483,agence mediterannee,92 lot les dunes - Cheraga Alger, 0561860238, medimm@hotmail.com
485,Agence ESSAADA,31 rue rtt bois des cars dely brahim - Dely brahim Alger, 0550437220 / 0552348833 / 0663223165, chafik24@hotmail.fr
486,AG BELLE MAISON,"03,Lot Boirie Villa Nu00b009 Kouba Alger - Kouba Alger", 0557812287 / 0551559308 / 021288207 / 0658297171, ag_bellemaison@yahoo.fr
487,HF Computer,AIN NAADJA - Ain naadja Alger, 0557770420, fekirhocine@gmail.com
488,Agence espoire bleu,16 rue daib aissa bordj el kiffan - Bordj el kiffan Alger, 0554765646, espoir-bleu@hotmail.fr
493,ITCAN informatique,"21, Rue de Palestine * En face Hotel Souf * - El oued El oued", 0661703797, kheiriserd@gmail.com
494,BlueStar ,"29, Rue Mohamed Fellah - Kouba Alger", 0696913814, bluestar.info@ymail.com
496,les 5avenues immobilier  depuis 1949,26 rue abane ramdane alger      - Alger centre Alger, 023502369 / 70, agence_a5a@yahoo.fr
497,Agence la Ruche,avenue bouadou 108 log bir morad rais - , 0557679254 / 0773324127 / 021447581 / 021563470, aglaruche@yahoo.fr
498,Ezone,El biar Alger, 021799340, commercial@kainfo-dz.com
500,Agence IMMOSITE,23 rue guerbi abdelatif - El mouradia Alger, 0667709651 / 021698618, immodekari23@yahoo.fr
501,AYRADE,6 Rue Cheikh Kamel Hussein Dey Alger - Hussein dey Alger, 021495087,Fax : 0982401262
502,ag.al amen draria,lot c n 107 drarai - Draria Alger, 05510164980771709199, ag.al amen@yahoo.fr
503,Agence MOLAR,80Boulevard Bougara  - El biar Alger, 002130920218, molar.immobilier@gmail.com
504,Agence bouzereah,Centre commercial les arcade - Bouzareah Alger, 0552054079, Mouadimmo@hotmail.fr
505,Agence NAWSI,1 Rue ali cherif kouba - Kouba Alger, 023782459 / 0551972564 / 0557287373, agencenawsi@hotmail.fr
506,Phone Store,Hydra Alger, 05536096650771342473, youcefsoupa54@hotmail.com
507,Agence Dar el beida,05 RUE KHEMISTI DAR EL BEIDA - Dar el beida Alger, 021755663,Fax : 021755663
510,Crystal,Hadjout Tipaza, 0661679173, doc_ouss@hotmail.com
513,remaxe,50 rue suidani boudjamaa - El mouradia Alger, 0560051120, remaxalgerie@hotmail.com
515,AGENCE ELHOUDJOURATE,CHERAGA ALI BOUZAD KALMON - Cheraga Alger, 0549333359, mekka@yahoo.fr
516,Agence CHORFA,hai cité cnep  - Bordj el kiffan Alger, 0770242760 / 0551880793 / 021211213, chorfayacine@yahoo.fr
517,Le Bonois,116 rue Said Deguiche les Caroubiers - Annaba Annaba, 0699800089, trinita23@hotmail.fr
518,Ahras SAT,draria - Draria Alger, 0667151009, sat.ahras@yahoo.com
520,Elite Immobilier ,"49, cité des P.T.T - Hydra - Hydra Alger", 0550834084 / 021480121 / 021480122, eliteimmobilier@hotmail.fr
522,AGENCE DAR ELHANAA BARAKI,Lot 283 citu00e9 rokazin baraki Alger - Baraki Alger, 023917189 / 0555168939 / 0550313113, juriste_dz@hotmail.com
